customer_id,gender,age_group,city,channel,is_subscriber
CUST00001,Other,25-30,Jaipur,Organic Search,No
CUST00002,Female,18-24,Mumbai,Instagram Ad,No
CUST00003,Female,31-35,Hyderabad,Instagram Ad,No
CUST00004,Other,36-45,Mumbai,Instagram Ad,Yes
CUST00005,Male,25-30,Bangalore,Google Ad,No
CUST00006,Female,31-35,Mumbai,Instagram Ad,No
CUST00007,Female,25-30,Chennai,Instagram Ad,No
CUST00008,Female,25-30,Mumbai,Organic Search,Yes
CUST00009,Other,18-24,Jaipur,Influencer,No
CUST00010,Female,25-30,Mumbai,Organic Search,No
CUST00011,Other,18-24,Bangalore,Instagram Ad,No
CUST00012,Other,18-24,Hyderabad,Instagram Ad,No
CUST00013,Other,25-30,Mumbai,Influencer,No
CUST00014,Female,36-45,Ahmedabad,Organic Search,No
CUST00015,Other,18-24,Mumbai,Instagram Ad,No
CUST00016,Male,25-30,Delhi,Referral,No
CUST00017,Female,25-30,Bangalore,Instagram Ad,No
CUST00018,Female,18-24,Lucknow,Referral,Yes
CUST00019,Female,18-24,Chennai,Organic Search,No
CUST00020,Female,31-35,Mumbai,Google Ad,Yes
CUST00021,Female,36-45,Pune,Instagram Ad,Yes
CUST00022,Other,25-30,Delhi,Organic Search,No
CUST00023,Other,36-45,Bangalore,Instagram Ad,No
CUST00024,Female,31-35,Pune,Referral,No
CUST00025,Other,25-30,Bangalore,Instagram Ad,Yes
CUST00026,Female,18-24,Pune,Instagram Ad,No
CUST00027,Other,36-45,Delhi,Google Ad,No
CUST00028,Other,18-24,Mumbai,Instagram Ad,Yes
CUST00029,Other,36-45,Chennai,Organic Search,No
CUST00030,Other,31-35,Mumbai,Influencer,No
CUST00031,Male,31-35,Ahmedabad,Instagram Ad,Yes
CUST00032,Female,18-24,Bangalore,Referral,No
CUST00033,Male,18-24,Bangalore,Google Ad,Yes
CUST00034,Other,18-24,Delhi,Influencer,No
CUST00035,Male,25-30,Hyderabad,Google Ad,No
CUST00036,Female,45+,Delhi,Google Ad,No
CUST00037,Female,25-30,Mumbai,Organic Search,No
CUST00038,Other,18-24,Delhi,Influencer,Yes
CUST00039,Male,18-24,Bangalore,Influencer,Yes
CUST00040,Male,31-35,Chennai,Instagram Ad,No
CUST00041,Male,25-30,Pune,Organic Search,No
CUST00042,Female,18-24,Kolkata,Instagram Ad,Yes
CUST00043,Female,18-24,Pune,Organic Search,Yes
CUST00044,Male,25-30,Delhi,Organic Search,Yes
CUST00045,Female,31-35,Delhi,Influencer,Yes
CUST00046,Female,25-30,Mumbai,Influencer,No
CUST00047,Male,18-24,Pune,Referral,No
CUST00048,Female,25-30,Delhi,Instagram Ad,No
CUST00049,Male,36-45,Pune,Instagram Ad,No
CUST00050,Male,31-35,Ahmedabad,Referral,No
CUST00051,Other,31-35,Mumbai,Instagram Ad,No
CUST00052,Male,31-35,Mumbai,Instagram Ad,No
CUST00053,Female,18-24,Mumbai,Google Ad,No
CUST00054,Other,31-35,Delhi,Organic Search,Yes
CUST00055,Male,25-30,Hyderabad,Organic Search,No
CUST00056,Other,31-35,Pune,Instagram Ad,No
CUST00057,Female,18-24,Delhi,Influencer,No
CUST00058,Male,36-45,Pune,Referral,No
CUST00059,Female,25-30,Bangalore,Instagram Ad,No
CUST00060,Other,25-30,Mumbai,Organic Search,Yes
CUST00061,Male,36-45,Jaipur,Influencer,No
CUST00062,Other,18-24,Ahmedabad,Google Ad,No
CUST00063,Other,45+,Kolkata,Instagram Ad,No
CUST00064,Male,36-45,Delhi,Instagram Ad,No
CUST00065,Other,36-45,Hyderabad,Organic Search,Yes
CUST00066,Female,31-35,Lucknow,Instagram Ad,No
CUST00067,Other,36-45,Hyderabad,Organic Search,No
CUST00068,Female,25-30,Delhi,Referral,No
CUST00069,Female,36-45,Ahmedabad,Google Ad,No
CUST00070,Other,31-35,Pune,Organic Search,No
CUST00071,Female,36-45,Delhi,Google Ad,Yes
CUST00072,Male,25-30,Mumbai,Google Ad,No
CUST00073,Female,25-30,Pune,Instagram Ad,Yes
CUST00074,Female,36-45,Delhi,Instagram Ad,No
CUST00075,Female,31-35,Mumbai,Organic Search,Yes
CUST00076,Male,18-24,Bangalore,Google Ad,No
CUST00077,Male,31-35,Lucknow,Google Ad,No
CUST00078,Male,31-35,Delhi,Google Ad,Yes
CUST00079,Other,18-24,Jaipur,Referral,No
CUST00080,Male,25-30,Mumbai,Instagram Ad,No
CUST00081,Female,25-30,Hyderabad,Organic Search,No
CUST00082,Male,45+,Hyderabad,Google Ad,No
CUST00083,Male,25-30,Delhi,Google Ad,No
CUST00084,Female,18-24,Mumbai,Instagram Ad,Yes
CUST00085,Other,36-45,Hyderabad,Google Ad,Yes
CUST00086,Male,25-30,Bangalore,Instagram Ad,No
CUST00087,Other,25-30,Pune,Organic Search,Yes
CUST00088,Other,25-30,Pune,Google Ad,No
CUST00089,Other,31-35,Mumbai,Instagram Ad,No
CUST00090,Female,18-24,Pune,Influencer,No
CUST00091,Other,25-30,Pune,Google Ad,No
CUST00092,Other,36-45,Delhi,Influencer,No
CUST00093,Female,18-24,Mumbai,Instagram Ad,Yes
CUST00094,Other,18-24,Hyderabad,Instagram Ad,No
CUST00095,Other,36-45,Mumbai,Referral,No
CUST00096,Female,18-24,Hyderabad,Organic Search,No
CUST00097,Female,31-35,Chennai,Instagram Ad,Yes
CUST00098,Male,31-35,Chennai,Influencer,No
CUST00099,Male,25-30,Chennai,Instagram Ad,No
CUST00100,Male,36-45,Bangalore,Referral,No
CUST00101,Other,18-24,Ahmedabad,Google Ad,No
CUST00102,Other,25-30,Ahmedabad,Google Ad,Yes
CUST00103,Other,36-45,Mumbai,Instagram Ad,No
CUST00104,Female,45+,Pune,Organic Search,No
CUST00105,Other,25-30,Delhi,Organic Search,No
CUST00106,Male,31-35,Chennai,Instagram Ad,No
CUST00107,Female,18-24,Bangalore,Google Ad,No
CUST00108,Female,25-30,Mumbai,Instagram Ad,No
CUST00109,Female,31-35,Mumbai,Instagram Ad,No
CUST00110,Male,18-24,Chennai,Organic Search,Yes
CUST00111,Male,18-24,Lucknow,Google Ad,No
CUST00112,Male,31-35,Jaipur,Influencer,No
CUST00113,Female,25-30,Mumbai,Referral,No
CUST00114,Female,25-30,Ahmedabad,Instagram Ad,No
CUST00115,Other,18-24,Bangalore,Instagram Ad,Yes
CUST00116,Other,18-24,Pune,Organic Search,No
CUST00117,Male,45+,Delhi,Instagram Ad,No
CUST00118,Female,18-24,Jaipur,Instagram Ad,No
CUST00119,Other,18-24,Ahmedabad,Google Ad,No
CUST00120,Male,18-24,Bangalore,Influencer,No
CUST00121,Male,31-35,Hyderabad,Google Ad,No
CUST00122,Other,25-30,Ahmedabad,Instagram Ad,No
CUST00123,Male,45+,Ahmedabad,Google Ad,No
CUST00124,Female,18-24,Mumbai,Google Ad,No
CUST00125,Male,25-30,Mumbai,Influencer,No
CUST00126,Female,31-35,Bangalore,Instagram Ad,No
CUST00127,Female,31-35,Mumbai,Influencer,No
CUST00128,Other,36-45,Hyderabad,Organic Search,No
CUST00129,Other,36-45,Kolkata,Instagram Ad,Yes
CUST00130,Other,25-30,Chennai,Influencer,Yes
CUST00131,Male,25-30,Delhi,Influencer,No
CUST00132,Other,36-45,Bangalore,Google Ad,No
CUST00133,Other,18-24,Kolkata,Referral,No
CUST00134,Male,45+,Bangalore,Referral,No
CUST00135,Other,36-45,Delhi,Google Ad,Yes
CUST00136,Male,45+,Pune,Instagram Ad,No
CUST00137,Male,31-35,Delhi,Instagram Ad,No
CUST00138,Female,25-30,Chennai,Google Ad,No
CUST00139,Female,25-30,Pune,Referral,No
CUST00140,Other,18-24,Mumbai,Referral,No
CUST00141,Male,31-35,Mumbai,Instagram Ad,Yes
CUST00142,Female,25-30,Pune,Google Ad,No
CUST00143,Female,36-45,Delhi,Google Ad,No
CUST00144,Female,25-30,Pune,Referral,No
CUST00145,Female,18-24,Ahmedabad,Google Ad,No
CUST00146,Other,25-30,Lucknow,Google Ad,No
CUST00147,Female,31-35,Delhi,Instagram Ad,Yes
CUST00148,Other,18-24,Mumbai,Instagram Ad,No
CUST00149,Male,18-24,Delhi,Influencer,No
CUST00150,Other,31-35,Mumbai,Instagram Ad,Yes
CUST00151,Female,18-24,Delhi,Instagram Ad,Yes
CUST00152,Male,18-24,Bangalore,Instagram Ad,No
CUST00153,Male,25-30,Hyderabad,Instagram Ad,No
CUST00154,Other,31-35,Mumbai,Referral,No
CUST00155,Male,18-24,Delhi,Referral,No
CUST00156,Other,18-24,Mumbai,Google Ad,No
CUST00157,Male,31-35,Delhi,Google Ad,No
CUST00158,Other,18-24,Delhi,Organic Search,No
CUST00159,Female,25-30,Bangalore,Instagram Ad,No
CUST00160,Other,25-30,Delhi,Instagram Ad,No
CUST00161,Other,18-24,Delhi,Instagram Ad,No
CUST00162,Female,18-24,Ahmedabad,Organic Search,No
CUST00163,Other,31-35,Bangalore,Instagram Ad,No
CUST00164,Other,25-30,Hyderabad,Google Ad,Yes
CUST00165,Male,25-30,Delhi,Organic Search,No
CUST00166,Other,25-30,Lucknow,Organic Search,Yes
CUST00167,Male,18-24,Mumbai,Instagram Ad,Yes
CUST00168,Female,18-24,Delhi,Instagram Ad,No
CUST00169,Male,18-24,Bangalore,Google Ad,No
CUST00170,Male,18-24,Delhi,Influencer,No
CUST00171,Female,31-35,Delhi,Instagram Ad,No
CUST00172,Male,36-45,Bangalore,Organic Search,No
