customer_id,first_purchase,last_purchase,total_orders,total_revenue,avg_order_value,cohort_month,city,channel,is_subscriber
CUST00001,2023-05-30,2024-05-23,3,1357,452.3333333333333,2023-05,Jaipur,Organic Search,No
CUST00002,2023-07-09,2024-04-14,2,1797,898.5,2023-07,Mumbai,Instagram Ad,No
CUST00003,2023-01-12,2024-10-27,5,2593,518.6,2023-01,Hyderabad,Instagram Ad,No
CUST00005,2023-03-28,2023-11-07,2,1896,948.0,2023-03,Bangalore,Google Ad,No
CUST00008,2024-08-02,2024-10-17,2,1196,598.0,2024-08,Mumbai,Organic Search,Yes
CUST00011,2023-08-11,2024-07-03,2,1397,698.5,2023-08,Bangalore,Instagram Ad,No
CUST00013,2023-04-20,2024-07-09,3,1247,415.6666666666667,2023-04,Mumbai,Influencer,No
CUST00014,2023-03-02,2024-07-22,2,1396,698.0,2023-03,Ahmedabad,Organic Search,No
CUST00015,2023-08-04,2024-03-24,2,847,423.5,2023-08,Mumbai,Instagram Ad,No
CUST00016,2023-02-11,2024-11-11,3,1028,342.6666666666667,2023-02,Delhi,Referral,No
CUST00017,2023-02-02,2024-11-28,3,1598,532.6666666666666,2023-02,Bangalore,Instagram Ad,No
CUST00018,2023-03-31,2023-12-27,3,1088,362.6666666666667,2023-03,Lucknow,Referral,Yes
CUST00019,2023-01-25,2023-04-06,2,1098,549.0,2023-01,Chennai,Organic Search,No
CUST00020,2024-03-24,2024-11-17,2,429,214.5,2024-03,Mumbai,Google Ad,Yes
CUST00022,2023-07-23,2023-11-18,3,609,203.0,2023-07,Delhi,Organic Search,No
CUST00023,2023-05-10,2024-08-11,3,1319,439.6666666666667,2023-05,Bangalore,Instagram Ad,No
CUST00024,2023-04-25,2024-12-24,4,5790,1447.5,2023-04,Pune,Referral,No
CUST00025,2023-05-11,2024-05-15,2,779,389.5,2023-05,Bangalore,Instagram Ad,Yes
CUST00026,2023-08-15,2023-08-15,1,180,180.0,2023-08,Pune,Instagram Ad,No
CUST00027,2023-12-18,2024-04-12,2,1227,613.5,2023-12,Delhi,Google Ad,No
CUST00029,2023-04-02,2024-07-06,5,2704,540.8,2023-04,Chennai,Organic Search,No
CUST00030,2023-06-05,2023-11-04,3,1058,352.6666666666667,2023-06,Mumbai,Influencer,No
CUST00031,2024-06-26,2024-06-26,1,349,349.0,2024-06,Ahmedabad,Instagram Ad,Yes
CUST00032,2023-06-15,2023-12-04,2,946,473.0,2023-06,Bangalore,Referral,No
CUST00034,2024-08-07,2024-08-07,1,199,199.0,2024-08,Delhi,Influencer,No
CUST00036,2024-02-16,2024-08-09,2,1995,997.5,2024-02,Delhi,Google Ad,No
CUST00037,2023-01-11,2024-11-27,5,1966,393.2,2023-01,Mumbai,Organic Search,No
CUST00038,2024-07-14,2024-07-14,1,299,299.0,2024-07,Delhi,Influencer,Yes
CUST00039,2023-04-09,2024-11-15,2,360,180.0,2023-04,Bangalore,Influencer,Yes
CUST00040,2023-03-30,2024-03-08,4,2405,601.25,2023-03,Chennai,Instagram Ad,No
CUST00041,2024-04-20,2024-12-05,4,1357,339.25,2024-04,Pune,Organic Search,No
CUST00042,2023-12-31,2023-12-31,1,199,199.0,2023-12,Kolkata,Instagram Ad,Yes
