order_id,customer_id,city,gender,age_group,channel,is_subscriber,order_date,product_name,category,unit_price,quantity,revenue,discount_pct,returned
ORD002479,CUST01156,Chennai,Female,36-45,Instagram Ad,No,2023-01-01,Sanitary Pads - Heavy Flow,Wellness,249,3,747,0,No
ORD005970,CUST00657,Jaipur,Female,25-30,Instagram Ad,No,2023-01-01,Protein Bar - Dark Chocolate,Nutrition,180,1,180,10,No
ORD000427,CUST02252,Delhi,Female,31-35,Instagram Ad,No,2023-01-01,Vitamin C Serum,Skincare,599,1,599,0,No
ORD002675,CUST02524,Kolkata,Male,25-30,Referral,No,2023-01-01,Cat Treats - Tuna,Pet Care,249,1,249,15,No
ORD001156,CUST01269,Mumbai,Other,25-30,Influencer,No,2023-01-01,Shampoo - Anti Dandruff,Haircare,349,1,349,0,No
ORD001601,CUST00170,Delhi,Male,18-24,Influencer,No,2023-01-01,Cat Treats - Tuna,Pet Care,249,2,498,0,No
ORD004832,CUST02554,Pune,Other,18-24,Influencer,No,2023-01-01,Cat Treats - Tuna,Pet Care,249,1,249,10,No
ORD001912,CUST02183,Delhi,Male,25-30,Instagram Ad,No,2023-01-01,Vitamin C Serum,Skincare,599,1,599,5,No
ORD003966,CUST02082,Chennai,Male,18-24,Instagram Ad,No,2023-01-01,Protein Bar - Coffee,Nutrition,180,2,360,0,No
ORD000713,CUST00337,Bangalore,Other,31-35,Instagram Ad,No,2023-01-01,Vitamin C Serum,Skincare,599,1,599,0,No
ORD005203,CUST00116,Pune,Other,18-24,Organic Search,No,2023-01-02,Protein Bar - Coffee,Nutrition,180,1,180,10,No
ORD005134,CUST00261,Chennai,Other,25-30,Instagram Ad,No,2023-01-02,Protein Bar - Dark Chocolate,Nutrition,180,1,180,0,No
ORD000589,CUST01042,Delhi,Male,31-35,Instagram Ad,Yes,2023-01-02,Face Wash - Charcoal,Skincare,299,1,299,10,No
ORD003963,CUST01690,Pune,Female,36-45,Influencer,No,2023-01-02,Protein Bar - Peanut Butter,Nutrition,180,1,180,0,No
ORD000761,CUST02604,Delhi,Other,18-24,Influencer,No,2023-01-02,Sanitary Pads - Regular,Wellness,199,1,199,0,No
ORD000741,CUST00746,Delhi,Female,25-30,Organic Search,No,2023-01-02,Protein Bar - Coffee,Nutrition,180,1,180,0,No
ORD007811,CUST02909,Kolkata,Female,31-35,Instagram Ad,No,2023-01-02,Protein Bar - Coffee,Nutrition,180,3,540,10,No
ORD004705,CUST01251,Bangalore,Male,25-30,Referral,No,2023-01-02,Sanitary Pads - Regular,Wellness,199,2,398,5,No
ORD004590,CUST00906,Delhi,Male,31-35,Instagram Ad,No,2023-01-02,Vitamin C Serum,Skincare,599,1,599,0,No
ORD000442,CUST02607,Kolkata,Other,31-35,Instagram Ad,No,2023-01-02,Protein Bar - Dark Chocolate,Nutrition,180,1,180,10,No
ORD002307,CUST02629,Bangalore,Female,25-30,Organic Search,No,2023-01-02,Peanut Butter - Crunchy,Nutrition,349,2,698,0,No
ORD001076,CUST01579,Delhi,Male,31-35,Instagram Ad,No,2023-01-03,Peanut Butter - Crunchy,Nutrition,349,1,349,0,No
ORD003041,CUST01234,Bangalore,Male,45+,Google Ad,No,2023-01-03,Sanitary Pads - Heavy Flow,Wellness,249,1,249,0,No
ORD005231,CUST00958,Delhi,Female,36-45,Google Ad,No,2023-01-03,Sanitary Pads - Heavy Flow,Wellness,249,3,747,5,No
ORD001172,CUST01079,Kolkata,Other,18-24,Influencer,Yes,2023-01-03,Peanut Butter - Crunchy,Nutrition,349,3,1047,15,No
ORD004046,CUST02518,Ahmedabad,Male,25-30,Influencer,No,2023-01-03,Vitamin C Serum,Skincare,599,2,1198,5,No
ORD005811,CUST00294,Delhi,Male,31-35,Organic Search,No,2023-01-04,Sanitary Pads - Regular,Wellness,199,1,199,5,No
ORD005114,CUST02176,Chennai,Other,36-45,Instagram Ad,Yes,2023-01-04,Protein Bar - Coffee,Nutrition,180,2,360,10,No
ORD003419,CUST00084,Mumbai,Female,18-24,Instagram Ad,Yes,2023-01-04,Protein Bar - Coffee,Nutrition,180,1,180,5,No
ORD006752,CUST02886,Mumbai,Male,36-45,Referral,No,2023-01-04,Sanitary Pads - Regular,Wellness,199,1,199,10,Yes
ORD002680,CUST01960,Hyderabad,Other,31-35,Google Ad,No,2023-01-04,Dog Food - Chicken 1kg,Pet Care,599,1,599,0,No
ORD005475,CUST00913,Lucknow,Other,25-30,Referral,No,2023-01-04,Shampoo - Anti Dandruff,Haircare,349,1,349,10,No
ORD001003,CUST00524,Bangalore,Other,18-24,Instagram Ad,No,2023-01-05,Protein Bar - Peanut Butter,Nutrition,180,1,180,0,No
ORD003994,CUST00096,Hyderabad,Female,18-24,Organic Search,No,2023-01-05,Vitamin C Serum,Skincare,599,1,599,15,No
ORD001018,CUST01179,Chennai,Female,18-24,Google Ad,No,2023-01-05,Cat Treats - Tuna,Pet Care,249,3,747,0,No
ORD001012,CUST00897,Delhi,Other,25-30,Google Ad,No,2023-01-05,Moisturiser SPF 50,Skincare,499,2,998,5,No
ORD004538,CUST02549,Kolkata,Other,18-24,Instagram Ad,No,2023-01-05,Peanut Butter - Crunchy,Nutrition,349,1,349,0,No
ORD000303,CUST01374,Delhi,Other,25-30,Google Ad,No,2023-01-05,Moisturiser SPF 50,Skincare,499,1,499,15,No
ORD004413,CUST01552,Jaipur,Other,18-24,Instagram Ad,No,2023-01-05,Dog Food - Chicken 1kg,Pet Care,599,2,1198,10,No
ORD002377,CUST00241,Pune,Other,18-24,Instagram Ad,No,2023-01-05,Protein Bar - Dark Chocolate,Nutrition,180,1,180,0,No
ORD002975,CUST02190,Delhi,Other,18-24,Instagram Ad,No,2023-01-05,Protein Bar - Coffee,Nutrition,180,1,180,5,No
ORD001541,CUST00239,Ahmedabad,Female,18-24,Google Ad,No,2023-01-06,Peanut Butter - Crunchy,Nutrition,349,1,349,0,No
ORD004972,CUST01744,Bangalore,Male,18-24,Google Ad,No,2023-01-06,Protein Bar - Dark Chocolate,Nutrition,180,2,360,15,No
ORD006702,CUST01596,Bangalore,Other,31-35,Instagram Ad,Yes,2023-01-06,Peanut Butter - Crunchy,Nutrition,349,1,349,10,No
ORD003816,CUST00626,Chennai,Female,36-45,Organic Search,No,2023-01-06,Sanitary Pads - Regular,Wellness,199,3,597,10,No
ORD001365,CUST02782,Hyderabad,Female,18-24,Referral,No,2023-01-06,Protein Bar - Peanut Butter,Nutrition,180,2,360,0,No
ORD001276,CUST00713,Delhi,Male,25-30,Organic Search,Yes,2023-01-06,Muesli - No Added Sugar,Nutrition,299,1,299,15,No
ORD006626,CUST00570,Bangalore,Male,31-35,Organic Search,Yes,2023-01-06,Protein Bar - Dark Chocolate,Nutrition,180,1,180,15,No
ORD006582,CUST00246,Chennai,Female,25-30,Instagram Ad,Yes,2023-01-06,Moisturiser SPF 50,Skincare,499,2,998,0,No
ORD002249,CUST02353,Bangalore,Female,18-24,Instagram Ad,No,2023-01-06,Shampoo - Anti Dandruff,Haircare,349,2,698,0,No
ORD005714,CUST01858,Hyderabad,Male,31-35,Instagram Ad,No,2023-01-06,Shampoo - Anti Dandruff,Haircare,349,2,698,5,No
ORD003551,CUST01959,Kolkata,Male,18-24,Instagram Ad,No,2023-01-06,Cat Treats - Tuna,Pet Care,249,3,747,0,No
ORD004162,CUST00296,Delhi,Male,45+,Organic Search,No,2023-01-07,Protein Bar - Coffee,Nutrition,180,1,180,10,No
ORD007243,CUST01720,Mumbai,Male,18-24,Referral,No,2023-01-07,Vitamin C Serum,Skincare,599,1,599,10,No
ORD005966,CUST01881,Bangalore,Female,25-30,Google Ad,No,2023-01-07,Sanitary Pads - Regular,Wellness,199,1,199,0,No
ORD002256,CUST00932,Ahmedabad,Male,25-30,Instagram Ad,Yes,2023-01-07,Dog Food - Chicken 1kg,Pet Care,599,2,1198,0,No
ORD002763,CUST02967,Mumbai,Male,31-35,Instagram Ad,Yes,2023-01-07,Protein Bar - Dark Chocolate,Nutrition,180,2,360,5,No
ORD001343,CUST01024,Ahmedabad,Male,25-30,Instagram Ad,No,2023-01-07,Shampoo - Anti Dandruff,Haircare,349,1,349,0,No
ORD003750,CUST01436,Pune,Male,36-45,Referral,No,2023-01-07,Moisturiser SPF 50,Skincare,499,1,499,0,No
ORD003027,CUST01405,Delhi,Other,36-45,Google Ad,Yes,2023-01-07,Protein Bar - Dark Chocolate,Nutrition,180,2,360,0,No
ORD001467,CUST02691,Bangalore,Male,18-24,Organic Search,Yes,2023-01-07,Dog Food - Chicken 1kg,Pet Care,599,2,1198,0,No
ORD000088,CUST00292,Chennai,Female,18-24,Referral,No,2023-01-07,Sanitary Pads - Heavy Flow,Wellness,249,2,498,0,No
ORD005946,CUST01660,Pune,Male,36-45,Instagram Ad,No,2023-01-07,Cat Treats - Tuna,Pet Care,249,3,747,10,No
ORD007773,CUST02688,Mumbai,Other,25-30,Google Ad,No,2023-01-07,Face Wash - Charcoal,Skincare,299,1,299,0,No
ORD000099,CUST00586,Mumbai,Other,31-35,Instagram Ad,No,2023-01-07,Protein Bar - Peanut Butter,Nutrition,180,1,180,5,No
ORD004496,CUST00754,Delhi,Female,25-30,Organic Search,No,2023-01-07,Cat Treats - Tuna,Pet Care,249,1,249,0,No
ORD002323,CUST00447,Ahmedabad,Female,31-35,Organic Search,No,2023-01-07,Face Wash - Charcoal,Skincare,299,1,299,0,No
ORD000584,CUST00462,Delhi,Other,36-45,Instagram Ad,Yes,2023-01-07,Protein Bar - Coffee,Nutrition,180,1,180,0,No
ORD007422,CUST02999,Mumbai,Female,45+,Influencer,Yes,2023-01-08,Protein Bar - Peanut Butter,Nutrition,180,3,540,15,No
ORD004939,CUST00601,Mumbai,Male,25-30,Google Ad,No,2023-01-08,Sanitary Pads - Regular,Wellness,199,1,199,5,No
ORD004619,CUST02220,Delhi,Other,18-24,Google Ad,Yes,2023-01-08,Muesli - No Added Sugar,Nutrition,299,1,299,0,No
ORD004339,CUST01505,Bangalore,Male,18-24,Google Ad,Yes,2023-01-08,Peanut Butter - Crunchy,Nutrition,349,2,698,0,No
ORD002530,CUST01192,Lucknow,Female,25-30,Referral,Yes,2023-01-08,Dog Food - Chicken 1kg,Pet Care,599,1,599,10,No
ORD006924,CUST00693,Hyderabad,Male,25-30,Instagram Ad,No,2023-01-08,Protein Bar - Coffee,Nutrition,180,2,360,0,No
ORD001320,CUST02938,Mumbai,Male,18-24,Google Ad,No,2023-01-08,Shampoo - Anti Dandruff,Haircare,349,1,349,0,No
ORD004623,CUST02780,Bangalore,Male,36-45,Referral,No,2023-01-08,Shampoo - Anti Dandruff,Haircare,349,1,349,5,No
ORD001805,CUST01058,Mumbai,Female,25-30,Organic Search,No,2023-01-08,Sanitary Pads - Heavy Flow,Wellness,249,2,498,5,No
ORD006369,CUST01327,Bangalore,Other,25-30,Google Ad,No,2023-01-08,Protein Bar - Coffee,Nutrition,180,2,360,10,No
ORD001542,CUST01790,Bangalore,Male,25-30,Instagram Ad,No,2023-01-08,Sanitary Pads - Regular,Wellness,199,3,597,0,No
ORD001835,CUST01673,Mumbai,Male,25-30,Referral,Yes,2023-01-09,Sanitary Pads - Regular,Wellness,199,1,199,0,No
ORD004263,CUST02753,Delhi,Other,31-35,Google Ad,No,2023-01-09,Muesli - No Added Sugar,Nutrition,299,3,897,0,No
ORD001682,CUST00002,Mumbai,Female,18-24,Instagram Ad,No,2023-01-09,Sanitary Pads - Regular,Wellness,199,1,199,0,Yes
ORD004132,CUST01089,Jaipur,Other,25-30,Google Ad,No,2023-01-09,Face Wash - Charcoal,Skincare,299,1,299,0,No
ORD005017,CUST01051,Mumbai,Other,36-45,Instagram Ad,No,2023-01-09,Sanitary Pads - Regular,Wellness,199,1,199,15,No
ORD002626,CUST00067,Hyderabad,Other,36-45,Organic Search,No,2023-01-09,Cat Treats - Tuna,Pet Care,249,1,249,15,No
ORD003395,CUST01873,Chennai,Female,25-30,Instagram Ad,No,2023-01-09,Moisturiser SPF 50,Skincare,499,1,499,0,No
ORD000928,CUST01966,Mumbai,Other,18-24,Instagram Ad,No,2023-01-09,Sanitary Pads - Heavy Flow,Wellness,249,2,498,5,No
ORD005342,CUST02637,Bangalore,Other,36-45,Influencer,No,2023-01-09,Muesli - No Added Sugar,Nutrition,299,1,299,0,No
ORD002096,CUST02172,Pune,Other,25-30,Instagram Ad,Yes,2023-01-09,Cat Treats - Tuna,Pet Care,249,2,498,0,No
ORD003782,CUST01175,Bangalore,Female,25-30,Instagram Ad,No,2023-01-09,Face Wash - Charcoal,Skincare,299,3,897,0,No
ORD003667,CUST01769,Mumbai,Male,31-35,Google Ad,Yes,2023-01-09,Face Wash - Charcoal,Skincare,299,1,299,0,No
ORD000092,CUST01236,Bangalore,Male,25-30,Referral,No,2023-01-10,Protein Bar - Coffee,Nutrition,180,2,360,10,No
ORD001706,CUST02794,Hyderabad,Male,36-45,Influencer,No,2023-01-10,Vitamin C Serum,Skincare,599,1,599,0,No
ORD006012,CUST02181,Chennai,Male,25-30,Instagram Ad,No,2023-01-10,Muesli - No Added Sugar,Nutrition,299,1,299,0,No
ORD005827,CUST00922,Pune,Male,31-35,Influencer,No,2023-01-10,Sanitary Pads - Heavy Flow,Wellness,249,2,498,0,No
ORD000447,CUST01339,Bangalore,Other,25-30,Google Ad,No,2023-01-10,Vitamin C Serum,Skincare,599,2,1198,5,No
ORD001801,CUST00362,Mumbai,Female,36-45,Organic Search,No,2023-01-10,Muesli - No Added Sugar,Nutrition,299,1,299,0,No
ORD004287,CUST02746,Pune,Female,31-35,Referral,No,2023-01-10,Muesli - No Added Sugar,Nutrition,299,1,299,5,No
ORD005658,CUST00086,Bangalore,Male,25-30,Instagram Ad,No,2023-01-10,Protein Bar - Dark Chocolate,Nutrition,180,1,180,0,No
ORD000588,CUST02651,Mumbai,Female,18-24,Organic Search,No,2023-01-10,Sanitary Pads - Regular,Wellness,199,2,398,5,No
ORD005117,CUST01169,Mumbai,Other,31-35,Google Ad,No,2023-01-10,Sanitary Pads - Regular,Wellness,199,1,199,5,No
ORD004716,CUST00948,Lucknow,Other,18-24,Instagram Ad,Yes,2023-01-10,Moisturiser SPF 50,Skincare,499,1,499,10,No
ORD005186,CUST01643,Bangalore,Female,25-30,Google Ad,Yes,2023-01-10,Protein Bar - Peanut Butter,Nutrition,180,1,180,0,No
ORD004903,CUST00470,Bangalore,Female,25-30,Instagram Ad,No,2023-01-10,Muesli - No Added Sugar,Nutrition,299,3,897,10,No
ORD004883,CUST02995,Ahmedabad,Female,25-30,Google Ad,No,2023-01-11,Muesli - No Added Sugar,Nutrition,299,1,299,5,No
ORD001591,CUST01197,Delhi,Other,25-30,Referral,No,2023-01-11,Vitamin C Serum,Skincare,599,3,1797,0,No
ORD006152,CUST01418,Hyderabad,Female,18-24,Referral,No,2023-01-11,Dog Food - Chicken 1kg,Pet Care,599,1,599,10,No
ORD006699,CUST01919,Bangalore,Female,36-45,Google Ad,No,2023-01-11,Protein Bar - Coffee,Nutrition,180,2,360,0,No
ORD006765,CUST01788,Pune,Male,25-30,Referral,Yes,2023-01-11,Sanitary Pads - Heavy Flow,Wellness,249,1,249,5,No
ORD004930,CUST02212,Hyderabad,Female,18-24,Influencer,No,2023-01-11,Sanitary Pads - Heavy Flow,Wellness,249,1,249,5,Yes
ORD000260,CUST00747,Jaipur,Other,25-30,Instagram Ad,No,2023-01-11,Protein Bar - Dark Chocolate,Nutrition,180,1,180,0,No
ORD002625,CUST01448,Mumbai,Male,45+,Instagram Ad,No,2023-01-11,Shampoo - Anti Dandruff,Haircare,349,1,349,5,No
ORD003472,CUST00037,Mumbai,Female,25-30,Organic Search,No,2023-01-11,Protein Bar - Dark Chocolate,Nutrition,180,2,360,0,No
ORD004101,CUST01967,Lucknow,Other,25-30,Instagram Ad,No,2023-01-11,Dog Food - Chicken 1kg,Pet Care,599,2,1198,0,No
ORD004163,CUST01132,Bangalore,Female,31-35,Organic Search,No,2023-01-11,Face Wash - Charcoal,Skincare,299,2,598,15,No
ORD003766,CUST00643,Ahmedabad,Female,31-35,Google Ad,No,2023-01-11,Sanitary Pads - Heavy Flow,Wellness,249,2,498,0,No
ORD004382,CUST02121,Delhi,Female,18-24,Influencer,No,2023-01-11,Protein Bar - Peanut Butter,Nutrition,180,1,180,10,No
ORD001794,CUST00064,Delhi,Male,36-45,Instagram Ad,No,2023-01-11,Muesli - No Added Sugar,Nutrition,299,2,598,0,No
ORD004790,CUST01448,Mumbai,Male,45+,Instagram Ad,No,2023-01-12,Face Wash - Charcoal,Skincare,299,1,299,0,No
ORD002022,CUST01310,Hyderabad,Female,31-35,Instagram Ad,No,2023-01-12,Dog Food - Chicken 1kg,Pet Care,599,2,1198,0,No
ORD007510,CUST00003,Hyderabad,Female,31-35,Instagram Ad,No,2023-01-12,Face Wash - Charcoal,Skincare,299,1,299,5,No
ORD002317,CUST02187,Bangalore,Female,25-30,Instagram Ad,Yes,2023-01-12,Peanut Butter - Crunchy,Nutrition,349,2,698,5,No
ORD000756,CUST02536,Bangalore,Other,18-24,Influencer,No,2023-01-12,Vitamin C Serum,Skincare,599,1,599,0,No
ORD005561,CUST00238,Pune,Male,36-45,Organic Search,No,2023-01-12,Moisturiser SPF 50,Skincare,499,2,998,0,No
