order_id,customer_id,city,gender,age_group,channel,is_subscriber,order_date,product_name,category,unit_price,quantity,revenue,discount_pct,returned,order_month,cohort_month,cohort_index
ORD002479,CUST01156,Chennai,Female,36-45,Instagram Ad,No,2023-01-01,Sanitary Pads - Heavy Flow,Wellness,249,3,747,0,No,2023-01,2023-01,0
ORD005970,CUST00657,Jaipur,Female,25-30,Instagram Ad,No,2023-01-01,Protein Bar - Dark Chocolate,Nutrition,180,1,180,10,No,2023-01,2023-01,0
ORD000427,CUST02252,Delhi,Female,31-35,Instagram Ad,No,2023-01-01,Vitamin C Serum,Skincare,599,1,599,0,No,2023-01,2023-01,0
ORD002675,CUST02524,Kolkata,Male,25-30,Referral,No,2023-01-01,Cat Treats - Tuna,Pet Care,249,1,249,15,No,2023-01,2023-01,0
ORD001156,CUST01269,Mumbai,Other,25-30,Influencer,No,2023-01-01,Shampoo - Anti Dandruff,Haircare,349,1,349,0,No,2023-01,2023-01,0
ORD001601,CUST00170,Delhi,Male,18-24,Influencer,No,2023-01-01,Cat Treats - Tuna,Pet Care,249,2,498,0,No,2023-01,2023-01,0
ORD004832,CUST02554,Pune,Other,18-24,Influencer,No,2023-01-01,Cat Treats - Tuna,Pet Care,249,1,249,10,No,2023-01,2023-01,0
ORD001912,CUST02183,Delhi,Male,25-30,Instagram Ad,No,2023-01-01,Vitamin C Serum,Skincare,599,1,599,5,No,2023-01,2023-01,0
ORD003966,CUST02082,Chennai,Male,18-24,Instagram Ad,No,2023-01-01,Protein Bar - Coffee,Nutrition,180,2,360,0,No,2023-01,2023-01,0
ORD000713,CUST00337,Bangalore,Other,31-35,Instagram Ad,No,2023-01-01,Vitamin C Serum,Skincare,599,1,599,0,No,2023-01,2023-01,0
ORD005203,CUST00116,Pune,Other,18-24,Organic Search,No,2023-01-02,Protein Bar - Coffee,Nutrition,180,1,180,10,No,2023-01,2023-01,0
ORD005134,CUST00261,Chennai,Other,25-30,Instagram Ad,No,2023-01-02,Protein Bar - Dark Chocolate,Nutrition,180,1,180,0,No,2023-01,2023-01,0
ORD000589,CUST01042,Delhi,Male,31-35,Instagram Ad,Yes,2023-01-02,Face Wash - Charcoal,Skincare,299,1,299,10,No,2023-01,2023-01,0
ORD003963,CUST01690,Pune,Female,36-45,Influencer,No,2023-01-02,Protein Bar - Peanut Butter,Nutrition,180,1,180,0,No,2023-01,2023-01,0
ORD000761,CUST02604,Delhi,Other,18-24,Influencer,No,2023-01-02,Sanitary Pads - Regular,Wellness,199,1,199,0,No,2023-01,2023-01,0
ORD000741,CUST00746,Delhi,Female,25-30,Organic Search,No,2023-01-02,Protein Bar - Coffee,Nutrition,180,1,180,0,No,2023-01,2023-01,0
ORD007811,CUST02909,Kolkata,Female,31-35,Instagram Ad,No,2023-01-02,Protein Bar - Coffee,Nutrition,180,3,540,10,No,2023-01,2023-01,0
ORD004705,CUST01251,Bangalore,Male,25-30,Referral,No,2023-01-02,Sanitary Pads - Regular,Wellness,199,2,398,5,No,2023-01,2023-01,0
ORD004590,CUST00906,Delhi,Male,31-35,Instagram Ad,No,2023-01-02,Vitamin C Serum,Skincare,599,1,599,0,No,2023-01,2023-01,0
ORD000442,CUST02607,Kolkata,Other,31-35,Instagram Ad,No,2023-01-02,Protein Bar - Dark Chocolate,Nutrition,180,1,180,10,No,2023-01,2023-01,0
ORD002307,CUST02629,Bangalore,Female,25-30,Organic Search,No,2023-01-02,Peanut Butter - Crunchy,Nutrition,349,2,698,0,No,2023-01,2023-01,0
ORD001076,CUST01579,Delhi,Male,31-35,Instagram Ad,No,2023-01-03,Peanut Butter - Crunchy,Nutrition,349,1,349,0,No,2023-01,2023-01,0
ORD003041,CUST01234,Bangalore,Male,45+,Google Ad,No,2023-01-03,Sanitary Pads - Heavy Flow,Wellness,249,1,249,0,No,2023-01,2023-01,0
ORD005231,CUST00958,Delhi,Female,36-45,Google Ad,No,2023-01-03,Sanitary Pads - Heavy Flow,Wellness,249,3,747,5,No,2023-01,2023-01,0
ORD001172,CUST01079,Kolkata,Other,18-24,Influencer,Yes,2023-01-03,Peanut Butter - Crunchy,Nutrition,349,3,1047,15,No,2023-01,2023-01,0
ORD004046,CUST02518,Ahmedabad,Male,25-30,Influencer,No,2023-01-03,Vitamin C Serum,Skincare,599,2,1198,5,No,2023-01,2023-01,0
ORD005811,CUST00294,Delhi,Male,31-35,Organic Search,No,2023-01-04,Sanitary Pads - Regular,Wellness,199,1,199,5,No,2023-01,2023-01,0
ORD005114,CUST02176,Chennai,Other,36-45,Instagram Ad,Yes,2023-01-04,Protein Bar - Coffee,Nutrition,180,2,360,10,No,2023-01,2023-01,0
ORD003419,CUST00084,Mumbai,Female,18-24,Instagram Ad,Yes,2023-01-04,Protein Bar - Coffee,Nutrition,180,1,180,5,No,2023-01,2023-01,0
ORD002680,CUST01960,Hyderabad,Other,31-35,Google Ad,No,2023-01-04,Dog Food - Chicken 1kg,Pet Care,599,1,599,0,No,2023-01,2023-01,0
ORD005475,CUST00913,Lucknow,Other,25-30,Referral,No,2023-01-04,Shampoo - Anti Dandruff,Haircare,349,1,349,10,No,2023-01,2023-01,0
ORD001003,CUST00524,Bangalore,Other,18-24,Instagram Ad,No,2023-01-05,Protein Bar - Peanut Butter,Nutrition,180,1,180,0,No,2023-01,2023-01,0
ORD003994,CUST00096,Hyderabad,Female,18-24,Organic Search,No,2023-01-05,Vitamin C Serum,Skincare,599,1,599,15,No,2023-01,2023-01,0
ORD001018,CUST01179,Chennai,Female,18-24,Google Ad,No,2023-01-05,Cat Treats - Tuna,Pet Care,249,3,747,0,No,2023-01,2023-01,0
ORD001012,CUST00897,Delhi,Other,25-30,Google Ad,No,2023-01-05,Moisturiser SPF 50,Skincare,499,2,998,5,No,2023-01,2023-01,0
ORD004538,CUST02549,Kolkata,Other,18-24,Instagram Ad,No,2023-01-05,Peanut Butter - Crunchy,Nutrition,349,1,349,0,No,2023-01,2023-01,0
ORD000303,CUST01374,Delhi,Other,25-30,Google Ad,No,2023-01-05,Moisturiser SPF 50,Skincare,499,1,499,15,No,2023-01,2023-01,0
ORD004413,CUST01552,Jaipur,Other,18-24,Instagram Ad,No,2023-01-05,Dog Food - Chicken 1kg,Pet Care,599,2,1198,10,No,2023-01,2023-01,0
ORD002377,CUST00241,Pune,Other,18-24,Instagram Ad,No,2023-01-05,Protein Bar - Dark Chocolate,Nutrition,180,1,180,0,No,2023-01,2023-01,0
ORD002975,CUST02190,Delhi,Other,18-24,Instagram Ad,No,2023-01-05,Protein Bar - Coffee,Nutrition,180,1,180,5,No,2023-01,2023-01,0
ORD001541,CUST00239,Ahmedabad,Female,18-24,Google Ad,No,2023-01-06,Peanut Butter - Crunchy,Nutrition,349,1,349,0,No,2023-01,2023-01,0
ORD004972,CUST01744,Bangalore,Male,18-24,Google Ad,No,2023-01-06,Protein Bar - Dark Chocolate,Nutrition,180,2,360,15,No,2023-01,2023-01,0
ORD006702,CUST01596,Bangalore,Other,31-35,Instagram Ad,Yes,2023-01-06,Peanut Butter - Crunchy,Nutrition,349,1,349,10,No,2023-01,2023-01,0
ORD003816,CUST00626,Chennai,Female,36-45,Organic Search,No,2023-01-06,Sanitary Pads - Regular,Wellness,199,3,597,10,No,2023-01,2023-01,0
ORD001365,CUST02782,Hyderabad,Female,18-24,Referral,No,2023-01-06,Protein Bar - Peanut Butter,Nutrition,180,2,360,0,No,2023-01,2023-01,0
ORD001276,CUST00713,Delhi,Male,25-30,Organic Search,Yes,2023-01-06,Muesli - No Added Sugar,Nutrition,299,1,299,15,No,2023-01,2023-01,0
ORD006626,CUST00570,Bangalore,Male,31-35,Organic Search,Yes,2023-01-06,Protein Bar - Dark Chocolate,Nutrition,180,1,180,15,No,2023-01,2023-01,0
